"","ProfileOutput"
"Position","Intensity"
"m","Counts"
4.567329e-08,3.618943e+04
4.574176e-08,3.675455e+04
4.581024e-08,3.713057e+04
4.587872e-08,3.738901e+04
4.594719e-08,3.772684e+04
4.601567e-08,3.799320e+04
4.608414e-08,3.805598e+04
4.615262e-08,3.800665e+04
4.622109e-08,3.796057e+04
4.628957e-08,3.776655e+04
4.635805e-08,3.754425e+04
4.642652e-08,3.724693e+04
4.649500e-08,3.688654e+04
4.656347e-08,3.638002e+04
4.663195e-08,3.587505e+04
4.670042e-08,3.511611e+04
4.676890e-08,3.455191e+04
4.683738e-08,3.396703e+04
4.690585e-08,3.334733e+04
4.697433e-08,3.253534e+04
4.704280e-08,3.198420e+04
4.711128e-08,3.145335e+04
4.717975e-08,3.100756e+04
4.724823e-08,3.072497e+04
4.731671e-08,3.049854e+04
4.738518e-08,3.037431e+04
4.745366e-08,3.027328e+04
4.752213e-08,3.036868e+04
4.759061e-08,3.064727e+04
4.765908e-08,3.100394e+04
4.772756e-08,3.136486e+04
4.779604e-08,3.182698e+04
4.786451e-08,3.245796e+04
4.793299e-08,3.297877e+04
4.800146e-08,3.362486e+04
4.806994e-08,3.430207e+04
4.813841e-08,3.496972e+04
4.820689e-08,3.556583e+04
4.827537e-08,3.627697e+04
4.834384e-08,3.667709e+04
4.841232e-08,3.709413e+04
4.848079e-08,3.758991e+04
4.854927e-08,3.794729e+04
4.861774e-08,3.819445e+04
4.868622e-08,3.847997e+04
4.875469e-08,3.867144e+04
4.882317e-08,3.880157e+04
4.889165e-08,3.883089e+04
4.896012e-08,3.886368e+04
4.902860e-08,3.867184e+04
4.909707e-08,3.847017e+04
4.916555e-08,3.796523e+04
4.923402e-08,3.760030e+04
4.930250e-08,3.698204e+04
4.937098e-08,3.628941e+04
4.943945e-08,3.578214e+04
4.950793e-08,3.513862e+04
4.957640e-08,3.431495e+04
4.964488e-08,3.347446e+04
4.971335e-08,3.258951e+04
4.978183e-08,3.196057e+04
4.985031e-08,3.124920e+04
4.991878e-08,3.076913e+04
4.998726e-08,3.027581e+04
5.005573e-08,2.986450e+04
5.012421e-08,2.942042e+04
5.019268e-08,2.917689e+04
5.026116e-08,2.912616e+04
5.032964e-08,2.915180e+04
5.039811e-08,2.925714e+04
5.046659e-08,2.953209e+04
5.053506e-08,2.980232e+04
5.060354e-08,3.035832e+04
5.067201e-08,3.100078e+04
5.074049e-08,3.156754e+04
5.080897e-08,3.216666e+04
5.087744e-08,3.277217e+04
5.094592e-08,3.364119e+04
5.101439e-08,3.428735e+04
5.108287e-08,3.495980e+04
5.115134e-08,3.561731e+04
5.121982e-08,3.612230e+04
5.128830e-08,3.669388e+04
5.135677e-08,3.708981e+04
5.142525e-08,3.739206e+04
5.149372e-08,3.788098e+04
5.156220e-08,3.783959e+04
5.163067e-08,3.779376e+04
5.169915e-08,3.769095e+04
5.176763e-08,3.747604e+04
5.183610e-08,3.744837e+04
5.190458e-08,3.702132e+04
5.197305e-08,3.657311e+04
5.204153e-08,3.611054e+04
5.211000e-08,3.536093e+04
5.217848e-08,3.444138e+04
5.224696e-08,3.371739e+04
5.231543e-08,3.306475e+04
5.238391e-08,3.211377e+04
5.245238e-08,3.127086e+04
5.252086e-08,3.045364e+04
5.258933e-08,2.956752e+04
5.265781e-08,2.878339e+04
5.272629e-08,2.813378e+04
5.279476e-08,2.752927e+04
